,PHILIPPINES,NATIONAL CAPITAL REGION,City of Manila,City of Mandaluyong,City of San Juan,Quezon City,City of Marikina,City of Pasig,City of Caloocan,City of Malabon,City of Navotas,City of Valenzuela,City of Las Pi?as,City of Muntinlupa,City of Para?aque,Pasay City,City of Makati,Pateros,City of Taguig,CAR - CORDILLERA ADMINISTRATIVE REGION,Abra,Benguet (Excluding City of Baguio),City of Baguio,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS REGION,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga (Excluding City of Angeles),City of Angeles,Tarlac,Zambales (Excluding City of Olongapo),City of Olongapo,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon (Excluding City of Lucena),City of Lucena,Rizal,MIMAROPA REGION,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan (Excluding City of Puerto Princesa),City of Puerto Princesa,Romblon,REGION V - BICOL REGION,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo (Excluding City of Iloilo),City of Iloilo,Guimaras,NEGROS ISLAND REGION,Negros Occidental (Excluding City of Bacolod),City of Bacolod,Negros Oriental,Siquijor,REGION VII - CENTRAL VISAYAS,Bohol,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),City of Cebu,City of Lapu-Lapu (Opon),City of Mandaue,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte (Excluding City of Tacloban),City of Tacloban,Northern Samar,Samar (Western Samar),Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur (Excluding City of Zamboanga),City of Zamboanga,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte (Excluding City of Iligan),City of Iligan,Misamis Occidental,Misamis Oriental (Excluding City of Cagayan De Oro),City of Cagayan De Oro,REGION XI - DAVAO REGION,Davao Del Norte,Davao Del Sur (Excluding City of Davao),City of Davao,Davao Oriental,Davao De Oro,Davao Occidental,REGION XII - SOCCSKSARGEN1/,Cotabato (North Cotabato),South Cotabato (Excluding City of General Santos),City of General Santos (Dadiangas),Sultan Kudarat,Sarangani,CARAGA,Agusan Del Norte (Excluding City of Butuan),City of Butuan,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Islands,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,Basilan,Lanao Del Sur,Maguindanao,Maguindanao del Sur,Maguindanao del Norte,Sulu,Tawi-Tawi,Cotabato City
Share to Family Income,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
Wage/Salaries,52.7,62.8,59.2,69.5,64.1,61.5,62.5,64.0,65.7,62.2,66.9,65.5,62.8,69.4,60.4,62.7,58.8,63.9,65.8,48.2,42.7,47.0,54.1,46.4,46.0,48.0,40.9,43.9,42.6,38.7,40.6,46.6,45.0,56.8,43.5,45.6,46.0,44.7,55.1,45.0,50.6,59.4,53.6,53.7,50.5,53.1,52.4,56.4,57.8,55.0,60.2,59.2,45.4,56.3,59.7,42.6,41.2,44.2,41.0,38.6,52.3,46.4,46.0,48.9,43.8,49.5,49.4,34.2,43.8,41.8,40.3,39.0,42.9,40.9,47.0,45.3,50.0,50.9,53.2,47.4,43.3,53.5,47.1,50.7,59.2,57.6,63.7,44.5,45.4,43.9,52.9,41.8,46.0,42.4,38.8,43.0,44.7,45.7,43.5,35.2,52.9,52.9,56.6,39.4,45.4,54.0,48.1,52.5,55.1,51.0,55.7,49.7,50.7,53.2,49.5,37.3,46.5,43.2,47.5,53.8,44.8,42.7,50.2,46.0,56.3,46.3,54.6,50.0,40.6,30.9,39.3,23.2,30.7,,,31.5,30.9,48.0
Entrepreneurial Activities,17.1,11.4,15.5,6.9,11.0,11.8,8.0,10.3,11.5,13.9,11.4,11.7,8.1,8.0,11.8,11.1,11.4,14.4,9.7,19.3,16.7,25.0,11.9,23.8,18.7,21.4,28.1,17.2,15.7,18.1,16.3,17.7,22.3,14.0,21.8,23.2,21.3,21.2,15.8,24.5,20.1,15.5,17.9,14.9,19.5,14.5,12.7,9.7,13.6,13.7,11.1,13.5,20.5,15.5,14.5,25.2,16.7,26.4,20.7,34.6,20.3,21.3,19.9,15.4,24.5,15.0,14.6,36.7,22.5,17.8,18.9,20.2,18.0,17.3,16.1,15.9,16.9,16.1,13.8,20.1,15.4,14.4,14.1,16.8,11.0,12.0,12.8,19.6,21.3,16.2,15.5,26.0,25.2,15.4,21.7,25.4,22.1,23.5,24.3,34.8,19.7,19.4,23.8,20.5,25.1,16.3,17.0,18.5,14.3,21.5,18.6,21.0,20.7,23.5,25.3,31.9,24.1,25.5,21.9,21.5,23.7,30.8,20.2,21.3,13.3,23.3,18.0,23.7,20.5,44.9,30.2,46.6,46.5,,,49.1,56.2,27.9
Cash Receipts from Abroad,7.2,4.6,4.7,5.1,3.1,4.9,6.0,4.9,4.6,4.1,3.6,5.5,6.1,4.6,4.2,3.5,3.7,3.2,3.7,5.8,11.3,4.7,6.6,4.1,4.2,3.7,5.0,13.1,18.5,16.1,16.3,9.9,9.1,2.3,9.6,9.1,9.4,7.7,8.5,5.9,8.8,6.3,7.1,10.5,9.6,10.9,10.4,10.4,8.1,9.4,9.9,7.2,8.2,7.0,5.7,5.2,6.8,4.4,9.0,2.0,3.6,3.7,5.1,4.6,5.6,6.4,5.8,2.9,4.6,11.8,7.9,11.8,9.3,14.1,11.3,10.0,7.4,6.9,10.6,5.8,10.1,7.9,11.8,8.2,5.1,7.9,4.3,7.0,6.4,9.0,4.4,3.2,3.0,11.6,12.5,5.7,5.2,5.7,6.8,4.6,8.8,5.4,3.0,6.3,4.7,6.5,8.4,5.2,6.8,5.3,4.0,6.0,6.3,3.6,4.1,3.1,6.1,6.5,6.7,5.6,6.2,3.8,5.7,7.8,8.4,4.8,4.8,4.1,5.7,4.1,8.5,1.6,7.1,,,2.4,1.8,5.7
Cash Receipts from Domestic Sources,5.3,3.6,4.8,3.9,3.7,3.3,3.0,3.0,4.3,5.0,4.8,4.6,2.8,2.7,3.4,5.0,1.8,3.6,3.3,4.2,6.2,3.6,2.4,6.2,5.2,5.6,5.3,6.7,5.6,5.7,5.5,7.6,4.9,3.2,5.4,4.7,3.7,6.9,4.7,7.1,4.5,4.3,4.1,6.4,4.9,4.6,4.4,3.7,4.3,4.6,3.6,4.8,7.7,3.7,3.7,8.1,15.2,7.9,8.4,6.5,4.7,12.7,9.9,8.6,9.3,9.7,10.9,11.5,11.6,7.7,7.8,9.8,9.2,8.1,3.2,6.4,6.8,8.0,4.3,6.2,8.4,4.2,6.2,4.8,3.0,2.2,2.0,8.7,8.5,8.5,3.9,11.0,9.1,10.7,9.0,7.8,8.3,7.9,7.2,8.2,5.3,5.2,3.5,10.5,7.2,5.1,7.2,6.9,3.9,4.3,3.8,6.2,3.0,6.1,6.5,8.1,5.2,5.6,5.5,3.7,5.8,5.1,6.8,7.8,5.0,7.8,5.7,6.3,12.9,5.3,5.1,9.6,3.3,,,3.8,1.1,4.3
Rentals Received,0.7,0.9,0.6,0.6,1.3,0.8,0.5,1.0,0.3,0.4,0.4,0.7,0.7,0.8,1.4,1.3,1.7,0.2,2.3,1.1,0.4,0.8,2.1,0.5,0.7,0.5,0.2,0.6,0.4,0.3,2.3,0.2,1.2,0.7,1.3,1.4,0.7,0.8,0.5,1.0,0.7,0.6,0.1,0.5,0.6,0.3,0.3,1.5,0.6,0.5,0.7,0.4,0.8,0.4,0.7,0.7,0.2,0.6,0.8,0.9,0.8,0.2,0.5,0.6,0.5,0.4,0.2,0.5,0.5,0.4,1.3,0.4,0.1,0.2,0.6,0.4,0.4,0.2,0.5,0.5,0.7,0.9,0.3,0.9,1.4,0.9,1.3,0.5,0.8,0.3,1.8,0.6,0.4,0.3,0.8,0.5,0.9,0.5,0.2,0.3,0.2,0.6,0.4,0.5,0.3,1.0,0.7,0.5,0.8,1.0,0.6,0.6,1.4,0.3,0.5,0.7,0.5,0.3,0.9,0.8,0.2,0.1,0.6,0.5,0.8,0.6,0.9,0.3,0.1,0.3,1.0,0.4,0.0,,,0.0,0.2,0.2
Interest,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.2,0.1,0.1,0.0,0.1,1.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.1,0.3,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.3,0.2,0.4,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2
Pension,3.1,2.9,2.3,1.7,4.0,4.6,5.2,2.3,1.3,1.7,1.0,1.6,3.1,3.2,3.1,3.8,2.1,1.4,1.8,3.5,4.0,2.4,4.3,2.4,4.7,4.1,1.6,4.6,3.7,4.6,5.4,4.6,2.7,5.0,3.0,2.1,3.0,4.0,2.4,2.7,2.3,2.8,1.5,1.5,2.9,3.8,3.0,3.0,2.6,2.5,2.5,2.8,2.5,4.1,2.7,2.9,4.7,1.7,3.4,1.4,4.4,4.0,3.4,5.0,2.5,2.8,5.0,1.7,3.1,4.2,5.4,3.7,3.8,4.0,5.5,1.5,4.0,4.5,3.9,3.1,5.4,3.2,3.6,2.9,2.9,5.3,2.2,3.3,4.4,2.4,7.0,3.0,2.4,4.8,3.3,4.7,3.3,4.3,6.6,4.1,4.4,3.7,1.4,5.5,3.7,4.7,5.9,3.5,5.0,2.8,2.8,3.3,3.2,1.3,1.7,2.5,2.9,2.9,3.8,2.7,2.5,1.5,3.5,4.6,4.5,2.6,2.6,3.8,3.7,0.7,1.6,0.6,0.4,,,0.7,0.6,1.6
Dividends,0.2,0.2,0.3,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.1,0.0,1.3,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.4,0.1,0.0,0.1,0.3,0.1,0.0,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,0.0,0.0,0.2,2.7,0.0,0.1,0.0,0.1,0.3,0.6,0.5,0.0,0.8,0.1,0.4,1.1,0.1,0.0,0.1,0.4,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.1,1.6,0.0,0.1,1.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.0,0.1,1.1,0.0,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,,,0.0,0.0,0.0
"Other Source of Income, NEC",0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.7,0.1,0.2,0.3,0.1,0.1,0.7,0.1,0.0,0.9,0.0,0.1,0.2,0.0,0.2,0.1,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.3,0.1,0.5,0.4,0.0,0.2,0.2,0.1,0.1,0.2,0.0,0.2,0.0,0.3,0.2,0.1,0.2,0.3,0.1,0.1,0.2,0.1,0.2,0.4,0.0,0.2,0.1,0.1,0.0,0.2,0.4,0.3,0.1,0.2,0.3,0.2,0.0,0.3,0.4,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.3,0.1,0.2,0.2,0.1,0.4,0.1,0.1,0.3,0.4,0.3,0.2,0.2,0.5,0.1,0.1,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,,,0.5,0.2,0.1
"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.1,1.4,1.1,0.2,1.8,1.3,1.0,3.1,0.5,0.7,0.8,0.5,0.4,0.9,0.3,0.8,0.7,1.2,1.7,0.3,1.1,0.2,0.1,1.0,0.1,0.4,0.4,0.3,0.0,0.2,0.5,0.0,0.1,1.1,0.2,0.1,0.8,0.7,0.6,1.1,1.0,0.1,0.7,0.9,0.7,0.7,0.6,0.6,2.0,0.9,0.5,0.4,0.7,0.7,0.6,0.1,0.4,0.5,0.3,0.0,1.0,0.5,0.3,0.9,0.4,0.0,0.0,0.1,1.0,0.9,1.1,0.1,1.2,1.0,1.2,0.6,1.5,1.6,1.8,1.0,1.8,0.0,0.6,0.7,0.9,1.2,0.2,1.0,0.6,0.1,0.8,0.7,1.4,0.3,3.0,1.1,1.5,1.3,1.7,1.4,0.1,1.7,1.2,0.8,0.5,0.3,1.4,0.6,0.7,1.4,1.7,0.2,3.8,0.7,,,1.1,0.8,0.3
Net Receipt from Family Sustenance Activities,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,2.3,3.4,1.0,0.1,4.2,6.6,4.0,4.3,1.3,1.5,2.0,1.5,1.0,2.1,3.2,2.2,1.7,2.5,3.0,0.5,1.6,0.6,0.2,1.0,0.1,0.9,0.7,1.5,0.2,0.3,0.5,0.1,0.1,0.9,0.4,0.1,1.9,1.9,2.0,1.9,2.5,0.6,1.9,2.0,1.3,1.5,2.6,2.3,2.5,2.2,1.9,2.2,2.9,2.3,1.8,0.2,3.1,2.1,2.3,0.2,3.0,3.3,1.3,2.3,1.8,0.2,0.4,0.1,2.0,1.8,2.5,0.3,2.0,2.1,2.1,1.8,2.0,3.1,2.2,1.0,2.0,0.6,1.4,1.8,2.8,2.1,0.6,2.1,1.6,0.2,1.2,1.4,1.5,0.4,2.0,2.6,3.7,2.8,3.7,2.5,0.5,3.8,3.4,2.0,1.6,0.7,3.6,1.3,1.7,3.7,1.8,2.6,1.8,2.0,,,2.2,1.4,0.5
Received as Gifts,2.4,1.3,1.7,0.8,1.8,0.9,0.9,1.5,2.1,2.0,1.8,1.1,1.3,1.0,1.1,1.6,1.0,1.5,1.2,3.6,4.1,3.8,2.3,3.5,4.1,5.1,6.4,3.6,4.5,4.8,3.9,3.0,2.4,4.5,2.5,1.8,4.0,3.3,2.4,3.5,3.1,2.5,2.4,1.5,2.1,3.3,3.7,2.6,2.2,2.8,1.9,2.2,3.4,2.6,1.7,3.7,3.8,4.0,5.3,3.2,1.9,1.9,2.9,3.0,3.3,2.7,3.3,2.6,3.3,3.8,3.4,4.8,3.3,3.8,2.5,9.2,2.8,3.0,1.6,2.9,4.3,2.4,2.8,2.7,2.3,1.4,2.0,3.0,2.8,3.4,2.3,2.6,2.7,3.2,3.7,2.5,3.1,2.3,1.7,3.1,1.6,2.1,1.8,5.2,2.5,1.6,2.4,2.7,1.6,2.5,3.2,2.8,2.3,1.8,2.8,2.8,3.2,3.1,2.7,2.7,4.2,4.1,2.4,2.8,2.0,2.6,1.6,2.2,5.4,3.4,3.3,6.4,1.5,,,2.9,1.7,2.0
Imputed Rent,9.7,11.9,10.7,11.2,10.7,12.0,13.8,12.8,10.0,10.5,10.0,9.3,14.7,9.9,14.5,10.9,15.3,11.7,11.9,10.4,9.5,10.3,15.3,7.0,7.3,5.8,4.9,8.3,6.5,8.6,7.7,8.9,9.0,9.2,9.8,9.1,7.6,6.4,9.7,7.0,9.2,8.2,11.3,10.5,8.3,8.3,11.3,12.4,10.0,9.7,9.8,9.5,9.4,9.7,11.1,8.1,8.6,7.6,8.1,7.3,11.2,7.2,9.1,11.7,8.0,9.9,7.9,5.2,7.2,9.1,10.0,6.4,10.4,8.7,10.8,7.6,8.9,7.6,11.7,9.4,7.8,11.1,10.6,9.9,14.5,11.6,10.5,9.8,7.6,12.4,11.4,8.4,7.3,7.8,7.7,6.6,7.3,6.0,7.5,5.5,6.1,8.0,6.4,8.4,7.5,8.1,7.2,7.6,10.8,9.3,9.0,7.1,11.6,4.9,5.9,8.0,6.9,6.9,6.9,7.4,6.9,6.6,7.7,6.9,8.5,6.8,9.8,7.0,5.7,6.7,8.0,5.7,7.7,,,5.8,5.0,9.0
